Temperature,Light Sensor,Date,Time
315.0,0.0,14-09-2019,18:49:59
315.0,0.0,14-09-2019,18:50:01
315.0,0.0,14-09-2019,18:50:03
315.0,0.0,13-09-2019,18:50:05
315.0,0.0,13-09-2019,18:50:07
35.0,0.0,2019-09-15,19:58:00
35.0,0.0,2019-09-15,19:58:02
35.0,0.0,2019-09-15,19:58:04
35.0,0.0,2019-09-15,19:58:06
35.0,0.0,2019-09-15,19:58:08
35.0,0.0,2019-09-15,19:58:10
35.0,0.0,2019-09-15,19:58:12
35.0,0.0,2019-09-15,19:58:14
35.0,0.0,2019-09-15,19:58:16
42.0,712.0,2019-09-16,11:25:15
43.0,691.0,2019-09-16,11:25:17
42.0,689.0,2019-09-16,11:25:18
42.0,682.0,2019-09-16,11:25:20
42.0,661.0,2019-09-16,11:25:21
42.0,665.0,2019-09-16,11:25:23
42.0,671.0,2019-09-16,11:25:24
42.0,673.0,2019-09-16,11:25:26
42.0,705.0,2019-09-16,11:25:27
42.0,689.0,2019-09-16,11:25:29
42.0,687.0,2019-09-16,11:25:30
41.0,666.0,2019-09-16,11:25:32
42.0,656.0,2019-09-16,11:25:33
43.0,669.0,2019-09-16,11:25:35
43.0,676.0,2019-09-16,11:25:36
42.0,716.0,2019-09-16,11:25:38
42.0,697.0,2019-09-16,11:25:39
42.0,692.0,2019-09-16,11:25:41
42.0,689.0,2019-09-16,11:25:42
42.0,679.0,2019-09-16,11:25:44
43.0,670.0,2019-09-16,11:25:45
42.0,662.0,2019-09-16,11:25:47
41.0,658.0,2019-09-16,11:25:48
42.0,663.0,2019-09-16,11:25:50
43.0,657.0,2019-09-16,11:25:51
42.0,656.0,2019-09-16,11:25:53
42.0,661.0,2019-09-16,11:25:54
43.0,660.0,2019-09-16,11:25:56
42.0,659.0,2019-09-16,11:25:58
42.0,665.0,2019-09-16,11:25:59
42.0,671.0,2019-09-16,11:26:01
42.0,671.0,2019-09-16,11:26:02
43.0,674.0,2019-09-16,11:26:04
44.0,678.0,2019-09-16,11:26:05
43.0,696.0,2019-09-16,11:26:07
43.0,714.0,2019-09-16,11:26:08
43.0,716.0,2019-09-16,11:26:10
43.0,704.0,2019-09-16,11:26:11
43.0,701.0,2019-09-16,11:26:13
43.0,692.0,2019-09-16,11:26:14
43.0,693.0,2019-09-16,11:26:16
42.0,688.0,2019-09-16,11:26:17
43.0,688.0,2019-09-16,11:26:19
43.0,690.0,2019-09-16,11:26:20
43.0,689.0,2019-09-16,11:26:22
42.0,695.0,2019-09-16,11:26:23
44.0,688.0,2019-09-16,11:26:25
27.0,677.0,2019-09-16,11:26:26
